s1:

+---------------------+--------+----+
| time                | player | ip |
| 2016-08-19 04:20:34 |      2 | 14 |
| 2016-08-19 04:25:34 |      2 | 14 |
| 2016-08-19 04:30:34 |      2 | 14 |
| 2016-08-19 04:35:34 |      2 | 14 |
| 2016-08-19 04:40:35 |      2 | 14 |
| 2016-08-19 04:45:35 |      2 | 14 |
| 2016-08-19 04:50:35 |      2 | 14 |
| 2016-08-19 04:55:36 |      2 | 14 |
| 2016-08-19 05:00:36 |      2 | 14 |
| 2016-08-19 05:05:36 |      2 | 14 |
| 2016-08-19 05:10:37 |      3 | 15 |
| 2016-08-19 05:15:37 |      4 | 16 |
| 2016-08-19 05:20:37 |      5 | 17 |
| 2016-08-19 05:25:37 |      5 | 17 |
| 2016-08-19 05:30:38 |      6 | 18 |
| 2016-08-19 05:35:38 |      5 | 17 |
| 2016-08-19 05:40:38 |      4 | 16 |
| 2016-08-19 05:45:39 |      4 | 16 |
| 2016-08-19 05:50:39 |      4 | 16 |
| 2016-08-19 05:55:39 |      4 | 16 |
| 2016-08-19 06:00:40 |      4 | 16 |
| 2016-08-19 06:05:40 |      4 | 16 |
| 2016-08-19 06:10:40 |      4 | 16 |
| 2016-08-19 06:15:41 |      4 | 16 |
| 2016-08-19 06:20:41 |      4 | 16 |
| 2016-08-19 06:25:41 |      5 | 16 |
| 2016-08-19 06:30:41 |      5 | 17 |
| 2016-08-19 06:35:42 |      5 | 17 |
| 2016-08-19 06:40:42 |      5 | 17 |
| 2016-08-19 06:45:42 |      5 | 17 |
| 2016-08-19 06:50:43 |      5 | 17 |
| 2016-08-19 06:55:43 |      5 | 17 |
| 2016-08-19 07:00:43 |      5 | 17 |
| 2016-08-19 07:05:44 |      5 | 17 |
| 2016-08-19 07:10:44 |      5 | 17 |
| 2016-08-19 07:15:44 |      4 | 16 |
| 2016-08-19 07:20:44 |      6 | 18 |
| 2016-08-19 07:25:45 |      6 | 18 |
| 2016-08-19 07:30:45 |      7 | 19 |
| 2016-08-19 07:35:45 |      7 | 19 |
| 2016-08-19 07:40:46 |      7 | 19 |
| 2016-08-19 07:45:46 |      8 | 20 |
| 2016-08-19 07:50:46 |     11 | 23 |
| 2016-08-19 07:55:47 |     11 | 23 |
| 2016-08-19 08:00:47 |     13 | 25 |
| 2016-08-19 08:05:47 |     12 | 24 |
| 2016-08-19 08:10:47 |     14 | 26 |
| 2016-08-19 08:15:48 |     13 | 25 |
| 2016-08-19 08:20:48 |     13 | 24 |
| 2016-08-19 08:25:48 |     12 | 24 |
| 2016-08-19 08:30:49 |     13 | 25 |
| 2016-08-19 08:35:49 |     13 | 25 |
| 2016-08-19 08:40:49 |     12 | 24 |
| 2016-08-19 08:45:50 |     11 | 23 |
| 2016-08-19 08:50:50 |     12 | 24 |
| 2016-08-19 08:55:50 |     15 | 27 |
| 2016-08-19 09:00:50 |     17 | 28 |
| 2016-08-19 09:05:51 |     17 | 29 |
| 2016-08-19 09:10:51 |     17 | 29 |
| 2016-08-19 09:15:51 |     15 | 27 |
| 2016-08-19 09:20:52 |     15 | 27 |
| 2016-08-19 09:25:52 |     15 | 27 |
| 2016-08-19 09:30:52 |     17 | 29 |
+---------------------+--------+----+



s2:

+---------------------+--------+----+
| time                | player | ip |
+---------------------+--------+----+
| 2016-08-18 00:07:53 |     22 | 49 |
| 2016-08-18 00:12:53 |     23 | 49 |
| 2016-08-18 00:17:53 |     22 | 49 |
| 2016-08-18 00:22:54 |     22 | 49 |
| 2016-08-18 00:27:54 |     22 | 49 |
| 2016-08-18 00:32:54 |     22 | 49 |
| 2016-08-18 00:37:55 |     22 | 49 |
| 2016-08-18 00:42:55 |     22 | 49 |
| 2016-08-18 00:47:55 |     22 | 49 |
| 2016-08-18 00:52:55 |     23 | 50 |
| 2016-08-18 00:57:56 |     22 | 48 |
| 2016-08-18 01:02:56 |     22 | 49 |
| 2016-08-18 01:07:56 |     21 | 48 |
| 2016-08-18 01:12:57 |     20 | 47 |
| 2016-08-18 01:17:57 |     20 | 47 |
| 2016-08-18 01:22:57 |     20 | 47 |
| 2016-08-18 01:27:58 |     20 | 47 |
| 2016-08-18 01:32:58 |     20 | 47 |
| 2016-08-18 01:37:58 |     20 | 47 |
| 2016-08-18 01:42:58 |     22 | 49 |
| 2016-08-18 01:47:59 |     20 | 47 |
| 2016-08-18 01:52:59 |     20 | 47 |
| 2016-08-18 01:57:59 |     18 | 45 |
| 2016-08-18 02:03:00 |     17 | 44 |
| 2016-08-18 02:08:00 |     17 | 44 |
| 2016-08-18 02:13:00 |     16 | 43 |
| 2016-08-18 02:18:01 |     17 | 44 |
| 2016-08-18 02:23:01 |     14 | 41 |
| 2016-08-18 02:28:01 |     14 | 41 |
| 2016-08-18 02:33:01 |     14 | 41 |
| 2016-08-18 02:38:02 |     16 | 42 |
| 2016-08-18 02:43:02 |     15 | 42 |
| 2016-08-18 02:48:02 |     15 | 42 |
| 2016-08-18 02:53:03 |     15 | 42 |
| 2016-08-18 02:58:03 |     15 | 42 |
| 2016-08-18 03:03:03 |     14 | 41 |
| 2016-08-18 03:08:04 |     13 | 40 |
| 2016-08-18 03:13:04 |     13 | 40 |
| 2016-08-18 03:18:04 |     13 | 40 |
| 2016-08-18 03:23:04 |     12 | 39 |
| 2016-08-18 03:28:05 |     12 | 39 |
| 2016-08-18 03:33:05 |     12 | 39 |
| 2016-08-18 03:38:05 |     12 | 39 |
| 2016-08-18 03:43:06 |     12 | 39 |
| 2016-08-18 03:48:06 |     11 | 38 |
| 2016-08-18 03:53:06 |     11 | 38 |
| 2016-08-18 03:58:07 |     11 | 38 |
| 2016-08-18 04:03:07 |     10 | 37 |
| 2016-08-18 04:08:07 |      9 | 36 |
| 2016-08-18 04:13:08 |      9 | 36 |
| 2016-08-18 04:18:08 |      9 | 36 |
| 2016-08-18 04:23:08 |      9 | 36 |
| 2016-08-18 04:28:08 |      9 | 36 |
| 2016-08-18 04:33:09 |      9 | 36 |
| 2016-08-18 04:38:09 |      9 | 36 |
| 2016-08-18 04:43:09 |      8 | 35 |
| 2016-08-18 04:48:10 |      8 | 35 |
| 2016-08-18 04:53:10 |      8 | 35 |
| 2016-08-18 04:58:10 |      8 | 35 |
| 2016-08-18 05:03:11 |      8 | 35 |
| 2016-08-18 05:08:11 |      8 | 35 |
| 2016-08-18 05:13:11 |      8 | 35 |
| 2016-08-18 05:18:11 |      9 | 36 |
| 2016-08-18 05:23:12 |      9 | 36 |
| 2016-08-18 05:28:12 |      9 | 36 |
| 2016-08-18 05:33:12 |      9 | 36 |
| 2016-08-18 05:38:13 |     10 | 37 |
| 2016-08-18 05:43:13 |     10 | 37 |
| 2016-08-18 05:48:13 |     10 | 37 |
| 2016-08-18 05:53:14 |     10 | 37 |
| 2016-08-18 05:58:14 |      9 | 36 |
| 2016-08-18 06:03:14 |     10 | 37 |
| 2016-08-18 06:08:14 |     10 | 37 |
| 2016-08-18 06:13:15 |     11 | 38 |
| 2016-08-18 06:18:15 |     11 | 38 |
| 2016-08-18 06:23:15 |     11 | 38 |
| 2016-08-18 06:28:16 |     12 | 39 |
| 2016-08-18 06:33:16 |     11 | 38 |
| 2016-08-18 06:38:16 |     11 | 37 |
